wav,start,stop,spk_id,label
id10963/GqBGtKtCfs0/00001.wav,48000,96000,id10963,1.0
id11198/uFcO1HTrRoM/00007.wav,48000,96000,id11198,1.0
id10976/U6xNHiZQ5rM/00001.wav,0,48000,id10976,1.0
id10155/RXHSgkTQeos/00001.wav,0,48000,id10155,1.0
id11211/wSJV1G7J6wQ/00011.wav,48000,96000,id11211,1.0
id10761/VB7sZ6phd1w/00001.wav,0,48000,id10761,1.0
id11221/KdvLpqo0zKA/00013.wav,48000,96000,id11221,1.0
id10630/c_dTqQK9Eus/00006.wav,0,48000,id10630,1.0
id10323/oTbfU_4YKdM/00005.wav,0,48000,id10323,1.0
id10989/rK6kJ-vwFVU/00003.wav,0,48000,id10989,1.0
id10115/gmn2h7a4dRE/00004.wav,48000,96000,id10115,1.0
id10583/05gr63nmJS8/00003.wav,96000,144000,id10583,1.0
id10534/iuwBKfUerlk/00030.wav,48000,96000,id10534,1.0
id10557/A26aKHc4sNE/00004.wav,144000,192000,id10557,1.0
id10699/W7CV5ali2Vw/00007.wav,96000,144000,id10699,1.0
id11154/nuBaabkzzzI/00016.wav,0,48000,id11154,1.0
id10397/rceH4zVysNo/00002.wav,0,48000,id10397,1.0
id10166/MItfMTlb9Os/00005.wav,0,48000,id10166,1.0
id10318/rl0yBKwn25c/00005.wav,96000,144000,id10318,1.0
id11187/JyZY9h4z2u4/00014.wav,96000,144000,id11187,1.0
id11032/v4n2tNXupe0/00004.wav,0,48000,id11032,1.0
id10202/cMkqpoAnyRA/00016.wav,0,48000,id10202,1.0
id10397/Yx-nufPjgVc/00015.wav,48000,96000,id10397,1.0
id10503/WGRRruByjho/00010.wav,0,48000,id10503,1.0
id10978/4jPhyU5eVdg/00003.wav,48000,96000,id10978,1.0
id10880/5YC_6r-NVXA/00010.wav,48000,96000,id10880,1.0
id10070/7vqTSZ5DscY/00002.wav,48000,96000,id10070,1.0
id10190/vMfVPuUJ5FY/00001.wav,48000,96000,id10190,1.0
id10744/y6motEnPmb4/00012.wav,288000,336000,id10744,1.0
id10424/J1FwXumvYqs/00002.wav,96000,144000,id10424,1.0
id10242/3ez0KTAsvZE/00041.wav,0,48000,id10242,1.0
id10973/kIZUIRlTv40/00001.wav,0,48000,id10973,1.0
id10367/35-qPdnh8BY/00007.wav,0,48000,id10367,1.0
id10566/R0sKZVkC6iA/00004.wav,96000,144000,id10566,1.0
id10408/BRsdwIcHrEc/00013.wav,0,48000,id10408,1.0
id10185/9cQ4yFinePo/00002.wav,192000,240000,id10185,1.0
id11234/_j2RydnWAU8/00005.wav,0,48000,id11234,1.0
id10813/8LtFqqznQT4/00005.wav,96000,144000,id10813,1.0
id11156/XrKM_LrA6_U/00008.wav,0,48000,id11156,1.0
id10183/SPJXLhtgrrg/00014.wav,96000,144000,id10183,1.0
id11120/EqbtPIQR3B0/00007.wav,96000,144000,id11120,1.0
id10898/absJwOu9qYw/00001.wav,0,48000,id10898,1.0
id10504/wDQlYqiUrE8/00002.wav,144000,192000,id10504,1.0
id10660/vdHguxfD2hU/00003.wav,0,48000,id10660,1.0
id10580/SjcmAhH6b54/00018.wav,96000,144000,id10580,1.0
id11101/a_GeH7Tnzag/00043.wav,0,48000,id11101,1.0
id10376/OSUGWP3iYns/00010.wav,0,48000,id10376,1.0
id10851/FX1qC6BPSuo/00001.wav,96000,144000,id10851,1.0
id10971/ulWgb-KmVeg/00007.wav,0,48000,id10971,1.0
id10834/GCYGS0UZjTU/00008.wav,48000,96000,id10834,1.0
id10080/Lri_u9ukuEw/00007.wav,144000,192000,id10080,1.0
id11111/G2QZRjUB_VM/00221.wav,0,48000,id11111,1.0
id10422/F5VihgGBMD4/00002.wav,48000,96000,id10422,1.0
id10089/DpWLNYFPT9U/00005.wav,0,48000,id10089,1.0
id11099/0Wmbm5f50OA/00088.wav,0,48000,id11099,1.0
id11166/RS7CK2Qq8oY/00008.wav,0,48000,id11166,1.0
id10817/EAAH0qnFpgw/00001.wav,48000,96000,id10817,1.0
id11237/Yysv1uvZCEc/00049.wav,0,48000,id11237,1.0
id10496/z7mqabciZc0/00002.wav,0,48000,id10496,1.0
id10457/d9dZkC2U4fI/00003.wav,48000,96000,id10457,1.0
id10431/nWtX2ta86HA/00003.wav,0,48000,id10431,1.0
id10982/7St2zN2-1v4/00013.wav,0,48000,id10982,1.0
id10397/bN-On2CusDM/00004.wav,0,48000,id10397,1.0
id11237/09_wpH2niZw/00001.wav,48000,96000,id11237,1.0
id10440/Cg8ntpOHVzw/00018.wav,240000,288000,id10440,1.0
id10379/DdkAd07M3cc/00001.wav,48000,96000,id10379,1.0
id10578/QRZaajPMIfQ/00004.wav,48000,96000,id10578,1.0
